month,trip_count,total_revenue,avg_fare,avg_distance,total_distance,avg_duration,avg_passengers
1,2718711,49925042.56,18.36,3.29,8945129.39,14.95,1.35
3,3029366,57815234.28,19.08,3.39,10261650.15,16.12,1.35
