date,trip_count,total_revenue,avg_fare,avg_distance,total_distance,avg_passengers
2024-01-01,67122,1468060.86,21.871530347725038,4.328008700575072,290504.6,1.5670123059503591
2024-01-02,70283,1493647.45,21.25190230923552,4.1867788796721825,294259.38,1.431398773529872
2024-01-03,77248,1543272.01,19.97814843102734,3.817921887945319,294926.83,1.393136391880696
2024-01-04,96623,1801691.58,18.64661188329901,3.3520527203667867,323885.39,1.3696842366724278
2024-01-05,96226,1734869.33,18.029111986365432,3.2271266601542203,310533.49,1.3873173570552657
2024-01-06,88485,1549841.97,17.515307340227157,3.189089902243318,282186.62,1.4724529581284964
2024-01-07,62207,1227897.08,19.738889192534604,3.974985773305255,247271.94,1.4385037053707783
2024-01-08,74903,1422327.79,18.988929548883224,3.567164733054751,267191.34,1.3087326275316076
2024-01-09,83567,1429214.86,17.10262256632403,2.9293473500305143,244796.77,1.286321155480034
2024-01-10,88801,1604116.57,18.06417236292384,3.230910124885981,286908.05,1.2833639260819134
2024-01-11,97978,1836838.48,18.7474584090306,3.308685112984547,324178.35,1.3024352405642083
2024-01-12,95548,1789824.83,18.73220611629757,3.3648977477288904,321509.25,1.3699501821074225
2024-01-13,96332,1680126.06,17.440996345970188,3.056643171531786,294452.55,1.4592658721920027
2024-01-14,85452,1543296.75,18.060393554276086,3.3726500257454477,288199.69,1.4578710855216963
2024-01-15,71292,1393500.96,19.546386130281096,3.8040610447175,271199.12,1.3803512315547326
2024-01-16,84514,1633787.14,19.331556191873535,3.395185294744066,286940.69,1.2895023309747498
2024-01-17,98829,1802495.93,18.238532515759545,3.105781602566048,306941.29,1.2953080573515872
2024-01-18,100789,1819684.01,18.05439095536219,3.069898103959758,309411.96,1.2890295567968726
2024-01-19,88510,1539902.32,17.39806033216586,3.057300869958197,270601.7,1.3516438820472263
2024-01-20,96630,1589478.73,16.449122736210285,2.8311299803373697,273572.09,1.4398944427196523
2024-01-21,75903,1418960.35,18.694390867291148,3.6082071854867395,273873.75,1.4030011988985942
2024-01-22,79380,1494507.05,18.82724930713026,3.4577868480725624,274479.12,1.2804232804232805
2024-01-23,92397,1655316.04,17.915257421777763,3.014198512938732,278502.9,1.276188620842668
2024-01-24,97982,1751123.22,17.871886877181524,2.9946242166928623,293419.27,1.275550611336776
2024-01-25,101472,1873635.48,18.464556527909178,3.147182868180385,319350.94,1.2809937716808577
2024-01-26,97610,1762042.32,18.05186271898371,3.1227455178772665,304811.19,1.3453129802274357
2024-01-27,102013,1738044.06,17.037476204013213,2.860450432787978,291803.13,1.4335133757462284
2024-01-28,81983,1496771.53,18.257096349243135,3.4293782857421657,281150.72,1.4052059573326177
2024-01-29,78849,1481828.81,18.79324798031681,3.4562122538015703,272518.88,1.2804093901000646
2024-01-30,94572,1659492.69,17.547399758913844,2.9739806708116565,281255.3,1.2679757222010744
2024-01-31,95211,1689446.3,17.744234384682443,2.9880275388347988,284493.09,1.2634149415508713
2024-03-01,104349,1912564.91,18.32854085808201,3.2281711372413726,336856.43,1.3441336284966794
2024-03-02,101705,1766275.21,17.366650705471706,2.944824344919129,299503.36,1.4374317880143552
2024-03-03,84081,1664257.03,19.793497103983064,3.7473210356679867,315078.5,1.4141482617951737
2024-03-04,86582,1674843.94,19.34402000415791,3.622164768658613,313614.27,1.295638816382158
2024-03-05,100507,1849875.72,18.405441611032067,3.0396856935337837,305509.69,1.2763986587998846
2024-03-06,108803,1977998.79,18.179634660808986,3.031863643465713,329875.86,1.276885747635635
2024-03-07,107326,2026119.29,18.878177608408027,3.276558429457913,351659.91,1.2872183813800944
2024-03-08,104602,1952391.57,18.664954494177934,3.2527175388615897,340240.76,1.3477753771438405
2024-03-09,108603,1844119.92,16.980377337642604,2.8360734970488846,308006.09,1.4415347642330323
2024-03-10,85292,1682747.43,19.729252802138536,3.8085127561787737,324835.67,1.407259766449374
2024-03-11,88052,1726281.84,19.605254167991642,3.6563599918230136,321949.81,1.3161654476900013
2024-03-12,98677,1914989.74,19.40664734436596,3.3051947262279966,326146.7,1.295692005229182
2024-03-13,105615,2024366.63,19.167415897363064,3.2850292098660225,346948.36,1.2957913175211855
2024-03-14,115219,2247352.88,19.505054548294986,3.313435978441056,381770.78,1.3004105225700622
2024-03-15,108918,2078945.5,19.087253713803044,3.338335077764924,363604.78,1.3579114563249417
2024-03-16,107247,1972361.24,18.39082902085839,3.203144237134838,343527.61,1.444851604240678
2024-03-17,85362,1789081.19,20.95875436376842,4.036556430261709,344568.53,1.4028959021578689
2024-03-18,85354,1726086.94,20.22268364692926,3.8531357639946573,328880.55,1.3044614194999649
2024-03-19,98641,1878876.66,19.04762380754453,3.342806540890705,329737.78,1.2830364655670563
2024-03-20,103570,1967245.4,18.994355508351838,3.321661291879888,344024.46,1.2775417591966787
2024-03-21,109922,2108024.07,19.177453739924673,3.3595179308964536,369284.93,1.2892323647677444
2024-03-22,99617,1906342.24,19.13671602236566,3.445891363923828,343269.36,1.3489765803025588
2024-03-23,94606,1682288.16,17.78204511341775,3.116906538697334,294878.06,1.456905481681923
2024-03-24,82927,1722208.16,20.76776152519686,4.05395371833058,336182.22,1.4359376318931107
2024-03-25,82609,1679572.39,20.331590867823117,3.8379359391833816,317048.05,1.3376024404120617
2024-03-26,96596,1856366.6,19.2178413184811,3.4034845128162656,328762.99,1.313377365522382
2024-03-27,102831,1985815.3,19.31144596473826,3.304790189728778,339834.88,1.3154301718353414
2024-03-28,104357,2107294.35,20.193128874919747,3.322124246576655,346686.92,1.3415103922113514
2024-03-29,96956,1844121.49,19.02018946738727,3.4015862865629773,329804.2,1.4308449193448574
2024-03-30,91733,1660401.92,18.100377399627178,3.1627702135545555,290130.4,1.4981413449903525
2024-03-31,78707,1586017.77,20.15091122771799,3.9313941580799674,309428.24,1.4832352903807793
