day_num,day_name,trip_count,avg_fare,total_revenue,avg_distance
0,Monday,714143,19.697750422534423,14067010.58,3.7210835084849956
1,Tuesday,819754,18.75143872430022,15371566.9,3.264286847029719
2,Wednesday,878890,18.598323055217378,16345880.15,3.2169806119082023
3,Thursday,833686,18.97673721281154,15820640.14,3.270091113440792
4,Friday,892336,18.514331496207706,16521004.51,3.273689686396156
5,Saturday,887354,17.448433511315663,15482937.27,3.0180287799457717
6,Sunday,721914,19.57468242754677,14131237.29,3.7685780577741945
